,,,,,,,,
,Ativo,Quantidade,Valor Unitário,Valor Total,Percentual na Carteira,Preço Médio,Valor Investido,Lucro
,BBAS3,109,"R$ 22,80","R$ 2.485,20","6,28%","R$ 26,15","R$ 2.850,35","-R$ 365,15"
,PRIO3,328,"R$ 40,01","R$ 13.123,28","33,18%","R$ 26,93","R$ 8.833,04","R$ 4.290,24"
,BBAS3,109,"R$ 22,80","R$ 2.485,20","6,28%","R$ 14,22","R$ 1.549,98","R$ 935,22"
,SHUL4,620,"R$ 4,99","R$ 3.093,80","7,82%","R$ 4,34","R$ 2.690,80","R$ 403,00"
,MRVE3,95,"R$ 8,14","R$ 773,30","1,95%","R$ 17,68","R$ 1.679,60","-R$ 906,30"
,MOVI3,380,"R$ 10,39","R$ 3.948,20","9,98%","R$ 13,85","R$ 5.263,00","-R$ 1.314,80"
,VAMO3,564,"R$ 3,67","R$ 2.069,88","5,23%","R$ 10,63","R$ 5.995,32","-R$ 3.925,44"
,BBSE3,60,"R$ 33,29","R$ 1.997,40","5,05%","R$ 34,03","R$ 2.041,80","-R$ 44,40"
,ISAE4,147,"R$ 27,47","R$ 4.038,09","10,21%","R$ 24,69","R$ 3.629,43","R$ 408,66"
,brav3,100,"R$ 14,83","R$ 1.483,00","3,75%","R$ 31,07","R$ 3.107,00","-R$ 1.624,00"
,ITSA4,342,"R$ 11,87","R$ 4.059,54","10,26%","R$ 9,81","R$ 3.355,02","R$ 704,52"
,,,TOTAL,"R$ 39.556,89","100,00%",TOTAL,"R$ 40.995,34","-R$ 1.438,45"
,,,,,,,,
,Ativo,Quantidade,Valor Unitário,Valor Total,Percentual na Carteira,Preço Médio,Valor Investido,Lucro
,XPML11,12,"R$ 106,81","R$ 1.281,72","8,84%","R$ 106,07","R$ 1.272,84","R$ 8,88"
,VISC11,14,"R$ 106,10","R$ 1.485,40","10,24%","R$ 105,48","R$ 1.476,72","R$ 8,68"
,HGRU11,15,"R$ 126,40","R$ 1.896,00","13,08%","R$ 120,98","R$ 1.814,70","R$ 81,30"
,ALZR11,23,"R$ 10,68","R$ 245,64","1,69%","R$ 109,93","R$ 2.528,39","-R$ 2.282,75"
,VILG11,19,"R$ 90,79","R$ 1.725,01","11,90%","R$ 99,14","R$ 1.883,66","-R$ 158,65"
,GGRC11,68,"R$ 9,96","R$ 677,28","4,67%","R$ 12,34","R$ 839,12","-R$ 161,84"
,XPCI11,16,"R$ 80,29","R$ 1.284,64","8,86%","R$ 88,21","R$ 1.411,36","-R$ 126,72"
,IRDM11,17,"R$ 58,50","R$ 994,50","6,86%","R$ 101,01","R$ 1.717,17","-R$ 722,67"
,VRTA11,16,"R$ 76,24","R$ 1.219,84","8,41%","R$ 100,23","R$ 1.603,68","-R$ 383,84"
,HSML11,7,"R$ 85,83","R$ 600,81","4,14%","R$ 72,77","R$ 509,39","R$ 91,42"
,HGRE11,17,"R$ 117,71","R$ 2.001,07","13,80%","R$ 133,24","R$ 2.265,08","-R$ 264,01"
,JSRE11,17,"R$ 63,98","R$ 1.087,66","7,50%","R$ 73,25","R$ 1.245,25","-R$ 157,59"
,,,TOTAL,"R$ 14.499,57","100,00%",TOTAL,"R$ 18.567,36","-R$ 4.067,79"
